Last,First,Address,DC Phone,Contact Site
ALEXANDER,SEN. Lamar (R-TN),SD-455,202-224-4944,http://www.alexander.senate.gov/public/index.cfm/officelocations
BALDWIN,SEN. Tammy (D-WI),SH-717,202-224-5653,https://www.baldwin.senate.gov/
BARRASSO,SEN. John (R-WY),SD-307,202-224-6441,http://www.barrasso.senate.gov/public/#OfficeLocations
BENNET,SEN. Michael F. (D-CO),SR-261,202-224-5852,https://www.bennet.senate.gov/?p=contact
BLUMENTHAL,SEN. Richard (D-CT),SH-706,202-224-2823,https://www.blumenthal.senate.gov/contact
BLUNT,SEN. Roy (R-MO),SR-260,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/office-locations
BOOKER,SEN. Cory A. (D-NJ),SD-359,202-224-3224,https://www.booker.senate.gov/?p=contact
BOOZMAN,SEN. John (R-AR),SH-141,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/office-locations
BROWN,SEN. Sherrod (D-OH),SH-713,202-224-2315,https://www.brown.senate.gov/contact/assistance
BURR,SEN. Richard (R-NC),SR-217,202-224-3154,http://www.burr.senate.gov/contact/office-locations
CANTWELL,SEN. Maria (D-WA),SH-511,202-224-3441,https://www.cantwell.senate.gov/contact/locations
CAPITO,SEN. Shelley Moore (R-WV),SR-172,202-224-6472,https://www.capito.senate.gov/contact/office-locations
CARDIN,SEN. Benjamin L. (D-MD),SH-509,202-224-4524,https://www.cardin.senate.gov/contact/regional_offices/
CARPER,SEN. Thomas R. (D-DE),SH-513,202-224-2441,http://www.carper.senate.gov/public/index.cfm/office-locations
CASEY,SEN. Robert P. (D-PA),SR-393,202-224-6324,https://www.casey.senate.gov/contact/offices/
CASSIDY,SEN. Bill (R-LA),SH-703,202-224-5824,http://www.cassidy.senate.gov/contact/office-locations
COCHRAN,SEN. Thad (R-MS),SD-113,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/offices
COLLINS,SEN. Susan M. (R-ME),SD-413,202-224-2523,https://www.collins.senate.gov/contact
COONS,SEN. Christopher A. (D-DE),SR-127A,202-224-5042,https://www.coons.senate.gov/contact
CORKER,SEN. Bob (R-TN),SD-425,202-224-3344,https://www.corker.senate.gov/public/index.cfm/officelocations
CORNYN,SEN. John (R-TX),SH-517,202-224-2934,https://www.cornyn.senate.gov/contact
CORTEZ MASTO,SEN. Catherine (D-NV),SD-B40A,202-224-3542,https://www.cortezmasto.senate.gov/content/contact-senator
COTTON,SEN. Tom (R-AR),SR-124,202-224-2353,https://www.cotton.senate.gov/?p=contact
CRAPO,SEN. Mike (R-ID),SD-239,202-224-6142,http://www.crapo.senate.gov/contact/office_locations.cfm
CRUZ,SEN. Ted (R-TX),SR-404,202-224-5922,https://www.cruz.senate.gov/?p=general&id=23
DAINES,SEN. Steve (R-MT),SH-320,202-224-2651,https://www.daines.senate.gov/
DONNELLY,SEN. Joe (D-IN),SH-720,202-224-4814,http://www.donnelly.senate.gov/contact/office-locations
DUCKWORTH,SEN. Tammy (D-IL),SD-G12,202-224-2854,https://www.duckworth.senate.gov/
DURBIN,SEN. Richard J. (D-IL),SH-711,202-224-2152,http://www.durbin.senate.gov/contact/
ENZI,SEN. Michael B. (R-WY),SR-379A,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/office-locations
ERNST,SEN. Joni (R-IA),SR-111,202-224-3254,http://www.ernst.senate.gov/public/index.cfm/office-locations
FEINSTEIN,SEN. Dianne (D-CA),SH-331,202-224-3841,http://www.feinstein.senate.gov/public/index.cfm/state-offices?
FISCHER,SEN. Deb (R-NE),SR-454,202-224-6551,http://www.fischer.senate.gov/public/index.cfm/contact
FLAKE,SEN. Jeff (R-AZ),SR-413,202-224-4521,http://www.flake.senate.gov/public/index.cfm/office-locations
FRANKEN,SEN. Al (D-MN),SH-309,202-224-5641,https://www.franken.senate.gov/
GARDNER,SEN. Cory (R-CO),SR-354,202-224-5941,https://www.gardner.senate.gov/contact-cory/office-locations
GILLIBRAND,SEN. Kirsten E. (D-NY),SR-478,202-224-4451,https://www.gillibrand.senate.gov/contact/
GRAHAM,SEN. Lindsey (R-SC),SR-290,202-224-5972,http://www.lgraham.senate.gov/public/index.cfm/office-locations
GRASSLEY,SEN. Chuck (R-IA),SH-135,202-224-3744,http://www.grassley.senate.gov/explore/regional-offices
HARRIS,SEN. Kamala D. (D-CA),SD-B40B,202-224-3553,https://www.harris.senate.gov/content/contact-senator
HASSAN,SEN. Maggie (D-NH),SR-B85,202-224-3324,https://www.hassan.senate.gov/content/contact-senator
HATCH,SEN. Orrin G. (R-UT),SH-104,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/district-offices
HEINRICH,SEN. Martin (D-NM),SH-303,202-224-5521,http://www.heinrich.senate.gov/contact/office-locations
HEITKAMP,SEN. Heidi (D-ND),SH-110,202-224-2043,http://www.heitkamp.senate.gov/public/index.cfm/contact
HELLER,SEN. Dean (R-NV),SH-324,202-224-6244,http://www.heller.senate.gov/public/
HIRONO,SEN. Mazie K. (D-HI),SH-330,202-224-6361,https://www.hirono.senate.gov/contact
HOEVEN,SEN. John (R-ND),SR-338,202-224-2551,https://www.hoeven.senate.gov/contact/office-locations
INHOFE,SEN. James M. (R-OK),SR-205,202-224-4721,https://www.inhofe.senate.gov/contact
ISAKSON,SEN. Johnny (R-GA),SR-131,202-224-3643,http://www.isakson.senate.gov/public/
JOHNSON,SEN. Ron (R-WI),SH-328,202-224-5323,http://www.ronjohnson.senate.gov/public/
KAINE,SEN. Tim (D-VA),SR-231,202-224-4024,http://www.kaine.senate.gov/?
KENNEDY,SEN. John (R-LA),SR-B11,202-224-4623,https://www.kennedy.senate.gov/content/contact-senator
KING,SEN. Angus S. (I-ME),SH-133,202-224-5344,https://www.king.senate.gov/contact
KLOBUCHAR,SEN. Amy (D-MN),SH-302,202-224-3244,http://www.klobuchar.senate.gov/public/
LANKFORD,SEN. James (R-OK),SH-316,202-224-5754,https://www.lankford.senate.gov/contact/locations
LEAHY,SEN. Patrick J. (D-VT),SR-437,202-224-4242,https://www.leahy.senate.gov/contact
LEE,SEN. Mike (R-UT),SR-361A,202-224-5444,https://www.lee.senate.gov/public/index.cfm/contact
MANCHIN III,SEN. Joe (D-WV),SH-306,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact
MARKEY,SEN. Edward J. (D-MA),SD-255,202-224-2742,https://www.markey.senate.gov/contact
McCAIN,SEN. John (R-AZ),SR-218,202-224-2235,http://www.mccain.senate.gov/public/index.cfm/office-locations
McCASKILL,SEN. Claire (D-MO),SH-503,202-224-6154,https://www.mccaskill.senate.gov/contact
McCONNELL,SEN. Mitch (R-KY),SR-317,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm/officelocations
MENENDEZ,SEN. Robert (D-NJ),SH-528,202-224-4744,https://www.menendez.senate.gov/contact
MERKLEY,SEN. Jeff (D-OR),SH-313,202-224-3753,https://www.merkley.senate.gov/connect/office-locations
MORAN,SEN. Jerry (R-KS),SD-521,202-224-6521,http://www.moran.senate.gov/public/index.cfm/connect
