"","Last","First","Address","DC.Phone","Contact.Site","Local.PhoneV2","Local.PhoneV3","Local.PhoneV4","Local.PhoneV5","Local.PhoneV6","Local.PhoneV7","Local.PhoneV8","Local.PhoneV9","Local.PhoneV10","Local.PhoneV11","Local.PhoneV12"
"1","ALEXANDER","SEN. Lamar  (R-TN)","SD-455","202-224-4944","http://www.alexander.senate.gov/public/index.cfm/officelocations","4237525337","7316640289","8655454253","9015444224","6157365129","4233256240",NA,NA,NA,NA,NA
"2","BALDWIN","SEN. Tammy  (D-WI)","SH-717","202-224-5653","https://www.baldwin.senate.gov/","8002475645","7158328424","9204982668","6087960045","6082645338","4142974451","7152612611","7054518905",NA,NA,NA
"3","BARRASSO","SEN. John  (R-WY)","SD-307","202-224-6441","http://www.barrasso.senate.gov/public/#OfficeLocations","3072616413","3077722451","3078566642","3073625012","3076726456","8662359553",NA,NA,NA,NA,NA
"4","BENNET","SEN. Michael F.  (D-CO)","SR-261","202-224-5852","https://www.bennet.senate.gov/?p=contact","3034557600","8664559866","7195427550","7195870096","7193281100","9702242200","9702416631","9702591710",NA,NA,NA
"5","BLUMENTHAL","SEN. Richard  (D-CT)","SH-706","202-224-2823","https://www.blumenthal.senate.gov/contact","2987287602","8602586940","2033300598",NA,NA,NA,NA,NA,NA,NA,NA
"6","BLUNT","SEN. Roy  (R-MO)","SR-260","202-224-5721","http://www.blunt.senate.gov/public/index.cfm/office-locations","4178777814","8164717141","5734428151","3147254484","5733347044",NA,NA,NA,NA,NA,NA
"7","BOOKER","SEN. Cory A.  (D-NJ)","SD-359","202-224-3224","https://www.booker.senate.gov/?p=contact","1002173536","8563388922","9736398700",NA,NA,NA,NA,NA,NA,NA,NA
"8","BOOZMAN","SEN. John  (R-AR)","SH-141","202-224-4843","https://www.boozman.senate.gov/public/index.cfm/office-locations","5013727153","4795730189","4797250400","8704240129","8702686925","8706726941","8708634641",NA,NA,NA,NA
"9","BROWN","SEN. Sherrod  (D-OH)","SH-713","202-224-2315","https://www.brown.senate.gov/contact/assistance","2165227272","5136841021","6144692083","4402424100","3964158028",NA,NA,NA,NA,NA,NA
"10","BURR","SEN. Richard  (R-NC)","SR-217","202-224-3154","http://www.burr.senate.gov/contact/office-locations","8283502437","8006858916","3366315125","8888481833","9102511058","2529779522",NA,NA,NA,NA,NA
"11","CANTWELL","SEN. Maria  (D-WA)","SH-511","202-224-3441","https://www.cantwell.senate.gov/contact/locations","2062206400","5093532507","2535722281","4253030114","3606967838","5099468106",NA,NA,NA,NA,NA
"12","CAPITO","SEN. Shelley Moore  (R-WV)","SR-172","202-224-6472","https://www.capito.senate.gov/contact/office-locations","3043475372","3042629285","3042922310",NA,NA,NA,NA,NA,NA,NA,NA
"13","CARDIN","SEN. Benjamin L.  (D-MD)","SH-509","202-224-4524","https://www.cardin.senate.gov/contact/regional_offices/","4109624436","3018600414","3017772957","3017622974","4105464250","4109624156",NA,NA,NA,NA,NA
"14","CARPER","SEN. Thomas R.  (D-DE)","SH-513","202-224-2441","http://www.carper.senate.gov/public/index.cfm/office-locations","3025736291","3026743308","3028567690",NA,NA,NA,NA,NA,NA,NA,NA
"15","CASEY","SEN. Robert P.  (D-PA)","SR-393","202-224-6324","https://www.casey.senate.gov/contact/offices/","8668022833","7172317540","8664619159","2154059660","4128037370","5709410930","8143570314","8148745080","6107829470","3525550418","1377769398"
"16","CASSIDY","SEN. Bill  (R-LA)","SH-703","202-224-5824","http://www.cassidy.senate.gov/contact/office-locations","3184487176","2259297711","3372611400","3374935398","5048380130","3183242111","3187983215",NA,NA,NA,NA
